Id,Naughtiness,es-es,en-us,ca
43,2,¿Quién es más probable que se merezca un bofetón ahora mismo?,Who is more likely to deserve a slap right now?,Qui és més probable que es mereixi una bufetada ara mateix?
44,1,¿Quién es más probable que duerma en la calle?,Who is more likely to sleep on the street?,Qui és més probable que dormi al carrer?
45,2,¿Quién es más probable que tenga la madre/padre más sexy?,Who is more likely to have the sexiest parents?,Qui és més probable que tingui la mare/pare més sexy?
46,2,¿Quién es más probable que tenga el hijo/hija más sexy?,Who is more likely to have the sexiest son or daughter?,Qui és més probable que tingui el fill/a més sexy?
47,2,¿Quién es más probable que muera de un ataque al corazón teniendo sexo?,Who is more likely to die of a heart attack having sex?,Qui és més probable que mori d'un atac a el cor tenint sexe?
48,2,¿Quién es más probable que pierda todo su dinero en juegos de apuestas?,Who is more likely to lose all their money on gambling?,Qui és més probable que perdi tots els seus diners en jocs d'apostes?
49,1,¿Quien se parece más a un pato?,Who looks more like a duck?,Qui s'assembla més a un ànec?
50,1,¿Quién es más probable que termine viviendo en el extranjero?,Who is more likely to end up living abroad?,Qui és més probable que acabi vivint a l'estranger?
51,5,¿Quién es más probable que use consoladores a diario?,Who is more likely to use dildos daily?,Qui és més probable que faci servir consoladors diàriament?
52,2,¿Quién es más probable que haya sido bloqueado más veces por gente en redes sociales?,Who is more likely to have been blocked more times by people on social networks?,Qui és més probable que hagi estat bloquejat més vegades per gent en xarxes socials?
53,1,¿Quién es más probable que encaje en la serie de Juego de Tronos?,Who is more likely to fit in the Game of Thrones series?,Qui és més probable que encaixi en la sèrie de Joc de Trons?
54,2,¿Quién es más probable que tenga un tatuaje cerca de sus partes intimas?,Who si more likely to have a tattoo near his/her intimate parts?,Qui és més probable que tingui un tatuatge prop de les seves parts íntimes?
55,1,¿Quién es más probable que le guste el Señor de los Anillos?,Who is more likely to like the Lord of the Rings?,Qui és més probable que li agradi el Senyor dels Anells?
56,5,¿Quién es más probable que tenga juguetes sexuales en casa?,Who is more likely to have sex toys at home?,Qui és més probable que tingui joguines sexuals a casa?
57,5,¿Quién es más probable que tenga el fetiche más extraño?,Who is more likely to be the weirdest fetish?,Qui és més probable que tingui el fetitxe més estrany?
58,2,¿Quién es más probable que tenga un crush con alguno de los presentes?,Who is more likely to have a crush in someone present?,Qui és més probable que tingui un crush amb algun dels presents?
59,3,¿Quién es más probable que se lie con alguno de los presentes?,Who is more likely to make out with someone present?,Qui és més probable que s'emboliqui amb algú dels presents?
60,2,¿Quién es más probable que diga más mentiras?,Who is more likely to tell more lies?,Qui és més probable que digui més mentides?
61,1,¿Quién es más probable que sea más sincero?,Who is more likely to be more honest?,Qui és més probable que sigui més sincer?
62,1,¿Quién es más probable que sepa más sobre música de los 80?,Who is more likely to know more about music from the 80s?,Qui és més probable que seepa més sobre música dels 80?
63,1,¿Quién es más probable que tenga peor gusto musical?,Who is more likely to have the worst musical taste?,Qui és més probable que tingui pitjor gust musical?
64,1,¿Quién es más probable que se pase 16h seguidas jugando a videojuegos?,Who is more likely to spend 16 hours in a row playing videogames?,Qui és més probable que es passi 16h seguides jugant a videojocs?
65,2,¿Quién es más probable que acabe llorando por su ex?,Who is more likely to end up crying for his/her ex?,Qui és més probable que acabi plorant pel seu ex?
66,2,¿Quién es más probable que tenga la vida más salvaje?,Who is more likely to have the wildest life?,Qui és més probable que tingui la vida més salvatge?
67,4,¿Quién es más probable que se gaste más dinero en drogas?,Who is more likely to spend more money on drugs?,Qui és més probable que es gasti més diners en drogues?
68,1,¿Quién es más probable que vaya al espacio?,Who is more likely to go to space?,Qui és més probable que vagi a l'espai?
69,1,¿Quién es más probable que tenga más en común con un simio?,Who is more likely to have more things in common with an ape?,Qui és més probable que tingui més en comú amb un simi?
70,1,¿Quién es más probable que tenga más hijos?,Who is more likely to have more children?,Qui és més probable que tingui més fills?
71,2,¿Quién es más probable que se divorcie más veces?,Who is more likely to divorce more often?,Qui és més probable que es divorciï més vegades?
72,1,¿Quién es más probable que vaya antes a Las Vegas?,Who is more likely to be the first one to go to Las Vegas?,Qui és més probable que vagi abans a Las Vegas?
73,3,¿Quién es más probable que sea más pasivo-agresivo?,Who is more likely to be more passive-aggressive?,Qui és més probable que sigui més passiu-agressiu?
74,4,¿Quién es más probable que se beba más rápido una lata de cerveza? La persona más votada tiene que demostrarlo.,Who is more likely to drink a beer can faster? The most voted person has to prove it,Qui és més probable que es begui més ràpid una llauna de cervesa? La persona més votada ha de demostrar-ho.
75,4,¿Quién es más probable que tenga más resitencia al alchol?,Who is more likely to have more alcohol resistance?,Qui és més probable que tingui més resistència a l'alchol?
76,4,¿Quién es más probable que sea invitado a una fiesta de Snoop Dogg?,Who is more likely to be invited to a party by Snoop Dogg?,Qui és més probable que sigui convidat a una festa de Snoop Dogg?
77,5,¿Quién es más probable que tenga una muñeca hinchable?,Who is more likely to have a blow-up doll?,Qui és més probable que tingui una nina inflable?
78,5,¿Quién es más probable que tenga el miembro más grande?,Who is more likely to have the biggest member?,Qui és més probable que tingui el membre més gran?
79,3,¿Quién es más probable que haga mejores mamadas?,Who is more likely to give the best blowjobs?,Qui és més probable que faci millors mamades?
80,2,¿Quién es más probable que haga más faltas de ortografía?,Who is more likely to make more typos?,Qui és més probable que faci més faltes d'ortografia?
81,3,¿Quién es más probable que se folle a alguien negro?,Who is more likely to have sex with a black person?,Qui és més probable que es folli a algú negre?
82,3,¿Quién es más probable que haga squirtcon más potencia?,Who is more likely to squirt harder?,Qui és més probable que faci squirtcon més potència?
83,3,¿Quién es más probable que haga el mejor baile erótico?,Who is more likely to do the sexiest erotic dance?,Qui és més probable que faci el millor ball eròtic?
84,3,¿Quién es más probable que se haya masturbado más veces durante la semana?,Who is more likely to have masturbated more times during the week?,Qui és més probable que s'hagi masturbat més vegades durant la setmana?
85,5,¿Quién es más probable que se haya tocado en el sitio más raro?,Who is more likely to have masturbated in the weirdest place?,Qui és més probable que s'hagi tocat en el lloc més estrany?
86,1,¿Quién es más probable que haya tenido más parejas durante el instituto?,Who is more likely to have had more couples during highschool?,Qui és més probable que hagi tingut més parelles durant l'institut?
87,2,¿Quién es más probable que bese mejor?,Who is more likely to be the best kisser?,Qui és més probable que besi millor?
88,1,¿Quién es más probable que conozca más series de anime?,Who is more likely to know more anime series?,Qui és més probable que conegui més sèries d'anime?
89,4,¿Quién es más probable que haya bebido más alchol durante su vida?,Who is more likely to have drunk more alchol in his/her lifetime?,Qui és més probable que hi hagi begut més alchol durant la seva vida?
90,4,¿Quién es más probable que haya probado más drogas?,Who is more likely to have tried more drugs?,Qui és més probable que hi hagi provat més drogues?
91,4,¿Quién es más probable que sea mejor liando porros?,Who is more likely to be better at rolling joints?,Qui és més probable que sigui millor embolicant porros?
92,1,¿Quién es más probable que termine casado con alguien asiático?,Who is more likely to end up married to an Asian?,Qui és més probable que acabi casat amb algú asiàtic?
93,1,¿Quién es más probable que escriba un best seller?,Who is more likely to write a bestseller?,Qui és més probable que escrigui un best-seller?
94,1,¿Quién es más probable que sea mejor actor/actriz?,Who is more likely to be the best actor/actress?,Qui és més probable que sigui millor actor/actriu?
95,1,¿Quién es más probable que cante mejor?,Who is more likely to be the best singer?,Qui és més probable que canti millor?
96,5,¿Quién es más probable que tenga la garganta más profunda?,Who is more likely to have the deepest throat?,Qui és més probable que tingui la gola més profunda?
97,5,¿Quién es más probable que tenga más experiencia sexual?,Who is more likely to have more sexual experience?,Qui és més probable que tingui més experiència sexual?
98,5,¿Quién es más probable que haya comido más pollas durante su vida?,Who is more likely to have sucked more dicks in his/her lifetime?,Qui és més probable que hi hagi menjat més polles durant la seva vida?
99,3,¿Quién es más probable que tenga una lengua más placentera?,Who is more likely to have the most pleasant tongue?,Qui és més probable que tingui una llengua més plaent?
100,3,¿Quién es más probable que se corra más rápido?,Who is more likely to run faster?,Qui és més probable que es corri més ràpid?
101,2,¿Quién es más probable que rompa su copa a lo largo de la noche?,Who is more likely to break his/her glass tonight?,Qui és més probable que trenqui la seva copa al llarg de la nit?
102,2,¿Quién es más probable que se lesione en el gimnasio?,Who is more likely to be injured at the gym?,Qui és més probable que es lesioni al gimnàs?
103,1,¿Quién es más probable que vaya más al gimnasio?,Who is more likely to go to the gym more often?,Qui és més probable que vagi més a gimnàs?
104,4,¿Quién es más probable que tenga cybersexo?,Who you are more likely to have cybersex?,Qui és més probable que tingui cybersexo?
105,1,¿Quién es más probable que muera antes?,Who you are more likely to die first?,Qui és més probable que mori abans?
106,1,¿Quién es más probable que vaya antes al baño?,Who is more likely to go to the bathroom first?,Qui és més probable que vagi abans al lavabo?
107,1,¿Quién es más probable que sepa solucionar un problema informático?,Who is more likely to know how to solve a computer problem?,Qui és més probable que sàpiga solucionar un problema informàtic?
108,1,¿Quién es más probable que tenga hijos antes?,Who is more likely to have children first?,Qui és més probable que tingui fills abans?
109,1,¿Quién es más probable que se haga millonario?,Who is more likely to become a millionaire?,Qui és més probable que es faci milionari?
110,4,¿Quién es más probable que se convierta en un capo de la droga?,Who is more likely to become a drug lord?,Qui és més probable que es converteixi en un cap de la droga?
111,1,¿Quién es más probable que gane en un combate Pokémon?,Who is more likely to win a Pokémon battle?,Qui és més probable que guanyi en un combat Pokémon?
112,2,¿Quién es más probable que lleve los calcetines agujereados?,Who is more likely to wear holed socks right now?,Qui és més probable que porti els mitjons foradats?
113,2,¿Quién es más probable que vaya sin ropa interior?,Who is more likely to not wear underwear right now?,Qui és més probable que vagi sense roba interior?
114,2,¿Quién es más probable que zorree hoy?,Who is more likely to twerk on someone today?,Qui és més probable que zorree avui?
115,2,¿Quién es más probable que sepa eructar más fuerte?,Who is more likely to know how tu burp the loudest?,Qui és més probable que sàpiga rotar més fort?
116,2,¿Quién es más probable que sea miembro de una secta?,Who is more likely to be a member of a cult?,Qui és més probable que sigui membre d'una secta?
117,1,¿Quién es más probable que gane un concurso de comidas?,Who is more likely to win an eating contest?,Qui és més probable que guanyi un concurs de menjars?
118,2,¿A quién es más probable que se le caduquen los condones?,Who is more likely to have his/her condoms expire?,A qui és més probable que se li caduquin els condons?
119,3,¿Quién es más probable que use un condón caducado?,Who is more likely to use an expired condom?,Qui és més probable que faci servir un condó caducat?
120,1,¿Quién es más probable que aguante más bajo el agua?,Who is more likely to last longer under water?,Qui és més probable que aguanti més sota l'aigua?
121,2,¿Quién es más probable que mee fuera de la taza?,Who is more likely to pee out of the toilet bowl?,Qui és més probable que pixi fora de la tassa?
122,2,¿Quién es más probable que termine en una relación tóxica?,Who is more likely to end up in a toxic relationship?,Qui és més probable que acabi en una relació tòxica?
123,1,¿A quién es más probable que lo envíen a un gulag?,Who is more likely to be sent to a gulag?,A qui és més probable que ho enviïn a un gulag?
124,3,¿Quién es más probable que tenga más contactos con los que se pueda acostar ahora mismo?,Who is more likely to have more contacts to have sex with right now?,Qui és més probable que tingui més contactes amb els quals es pugui ficar al llit ara mateix?
125,1,¿Quién es más probable que muera el primero en un apocalipsis zombie?,Who is more likely to die first in a zombie apocalypse?,Qui és més probable que mori el primer en un apocalipsi zombi?
126,1,¿Quién es más probable que muera el último en un apocalipsis zombie?,Who is more likely to last longer in a zombie apocalypse?,Qui és més probable que mori l'últim a un apocalipsi zombie?
127,1,¿Quién es más probable que le pida una canción al DJ?,Who is more likely to ask for a song to the DJ tonight?,Qui és més probable que li demani una cançó a l'DJ?
128,4,¿Quién es más probable que sea peor de aguantar borracho/a?,Who is more likely to be the worst at dealing with the drunkenness?,Qui és més probable que sigui pitjor d'aguantar borratxo/a?
